iteration,node,k_without_i,candidate_k,vram_without_i_fraction,candidate_vram_fraction,center_compute_cost,queue_cost,memory_barrier_increment,center_cost_increment,llm_center_cost_raw,verified_center_cost_increment,llm_numeric_within_tolerance,state_hash,state_reused_in_experiment,persistent_cache_hit,compute_impact,vram_impact,semantic_warning,model,latency_ms,resolved_model,prompt_tokens,completion_tokens,total_tokens,attempts,parse_ok
22,48,55,56,0.7787499999999999,0.7912499999999999,0.9444444444444444,0.21382048905769221,0.07498611978485514,1.2332510532869918,1.2332510532869918,1.2332510532869918,1,bc25b576f97e04f9f8fdb05c198c3771a561ff664909f20ec52719b79e8b26b6,0,1,0.9444444444444444,0.07498611978485514,High congestion may cause delay; consider offloading.,deepseek-chat,1239.9943330092356,deepseek-v4-flash,350,70,420,1,True
23,81,55,56,0.7687499999999999,0.7912499999999999,2.1666666666666665,0.21382048905769221,0.12797079413006252,2.5084579498544213,2.508457949854421,2.5084579498544213,1,3b9aebf432db571efcd4ae417c2b9cab244d4d983488f1703bbf7692a146c088,0,1,0.01818181818181818,0.02926829268292683,High congestion; offloading may increase latency.,deepseek-chat,1681.111374986358,deepseek-v4-flash,347,68,415,1,True
24,18,56,57,0.7912499999999999,0.8037499999999999,0.9444444444444444,0.2138341192945587,0.08605093107783168,1.2443294948168349,1.2443294948168346,1.2443294948168349,1,24034e4248dd5b45540398a9f0f8adb207862be806a1b43df47accf58874a54d,0,1,0.9444444444444444,0.08605093107783168,High congestion; offloading may increase latency.,deepseek-chat,1309.6803749795072,deepseek-v4-flash,350,69,419,1,True
25,89,56,57,0.78125,0.80375,2.083333333333333,0.2138341192945587,0.146853924663075,2.4440213772909667,2.444021377290967,2.4440213772909667,1,1ee5032f0fde2b483c15ffca8f219bb63f9f7e1b623cec15dc0e700d41223543,0,1,0.0,0.0,TXT_2_IMG with 8 images and 30 steps may cause high latency; consider reducing steps or images.,deepseek-chat,1369.2796250106767,deepseek-v4-flash,345,74,419,1,True
26,82,57,58,0.80375,0.8162499999999999,1.1666666666666667,0.21384775126928673,0.09874844518701575,1.4792628631229692,1.4792628631229692,1.4792628631229692,1,4947df9d6ee188b9fb9288db296ae3fb06df7071062ed0888c0d73d65f7ceba0,0,1,0.016666666666666666,0.0125,"Prompt length 73 chars, steps 30, TXT_2_IMG with no LoRA; moderate load.",deepseek-chat,1221.5367080061696,deepseek-v4-flash,347,80,427,1,True
27,98,58,59,0.8162499999999999,0.835,3.6,0.2138613849822087,0.17610357386768916,3.989964958849898,3.989964958849898,3.989964958849898,1,0ccf71f5b3e83c0e69393c122d3e43f5292aa4dfafce299ae2e0e45e59c0836a,0,1,0.0,0.0,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,970.4687079647556,deepseek-v4-flash,344,62,406,1,True
28,72,57,58,0.80375,0.8162499999999999,0.5555555555555556,0.21384775126928673,0.09874844518701575,0.868151752011858,0.8681517520118581,0.868151752011858,1,52d7e154808f07b6a2d1f0cb0af5d62e33a3e4c5e542f999b3267990e8762b13,0,1,0.5555555555555556,0.09874844518701575,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1306.2609580229037,deepseek-v4-flash,347,73,420,1,True
29,3,57,58,0.80375,0.8162499999999999,1.6666666666666667,0.21384775126928673,0.09874844518701575,1.9792628631229692,1.9792628631229692,1.9792628631229692,1,3498ba4d43963b3a70e62862791fae3f27138461108fe3b951a23d95d9135f74,0,1,0.0,0.0,,deepseek-chat,1154.3124999734573,deepseek-v4-flash,347,50,397,1,True
30,43,57,58,0.80375,0.8162499999999999,0.9444444444444444,0.21384775126928673,0.09874844518701575,1.2570406409007469,1.2570406409007469,1.2570406409007469,1,20ef3f2fea4925fb802d8d0eaf26d6579993fd93acd9c113ad0813d7ecad7f8e,0,1,0.9444444444444444,0.09874844518701575,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1608.841042034328,deepseek-v4-flash,347,73,420,1,True
31,77,58,59,0.8162499999999999,0.8287499999999999,1.0,0.2138613849822087,0.1133195806798788,1.3271809656620874,1.3271809656620874,1.3271809656620874,1,8d4f732ea60d12be332f50b6f02e8791224b271a3d6d9df73c5a5054a9c16963,0,1,0.0,0.0,TXT_2_IMG task with 45 chars prompt and 30 steps may cause high compute load; consider offloading.,deepseek-chat,1555.1214590086602,deepseek-v4-flash,345,76,421,1,True
32,65,59,60,0.82875,0.8475,2.7,0.213875020433657,0.20208908716608953,3.1159641075997464,3.1159641075997464,3.1159641075997464,1,e78b4d7fa48a832b814cea910cc674aceea4e4c341d41f937eaa96a214de2bbe,0,1,0.0,0.0,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1189.9495829711668,deepseek-v4-flash,344,63,407,1,True
33,43,58,59,0.8162499999999999,0.8287499999999999,0.9444444444444444,0.2138613849822087,0.1133195806798788,1.2716254101065319,1.2716254101065319,1.2716254101065319,1,0b6a1e986bdda8e43486e69a165b28c353dc503d3deae324a8b8bd5a06a0adf5,0,1,0.9444444444444444,0.1133195806798788,High congestion increase from 58 to 59; VRAM load approaching 83%.,deepseek-chat,1450.7606249535456,deepseek-v4-flash,347,78,425,1,True
34,65,59,60,0.82875,0.8475,2.7,0.213875020433657,0.20208908716608953,3.1159641075997464,3.1159641075997464,3.1159641075997464,1,e78b4d7fa48a832b814cea910cc674aceea4e4c341d41f937eaa96a214de2bbe,1,1,0.0,0.0,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1189.9495829711668,deepseek-v4-flash,344,63,407,1,True
35,6,58,59,0.8150000000000001,0.8287500000000001,1.987031674251178,0.2138613849822087,0.12381716958309497,2.324710228816482,2.324710228816482,2.324710228816482,1,99813c2e26740da762f1d6ee32129a69d6dd30c7249a568d5d3d82b56af658cc,0,1,0.017241379310344827,0.01687116564417178,High congestion and VRAM load; consider offloading to less loaded node.,deepseek-chat,1475.1870000036433,deepseek-v4-flash,348,75,423,1,True
36,87,59,60,0.82875,0.8412499999999999,0.6666666666666666,0.213875020433657,0.1300408056161687,1.0105824927164924,1.0105824927164924,1.0105824927164924,1,905d4e3c4a415366f6a9e809fe4812b09e1626cf58e274dd37a8706fe0a4af80,0,1,0.6666666666666666,0.1300408056161687,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1541.5509999729693,deepseek-v4-flash,349,73,422,1,True
37,16,59,60,0.82875,0.8412499999999999,0.5555555555555556,0.213875020433657,0.1300408056161687,0.8994713816053813,0.8994713816053813,0.8994713816053813,1,ffc460aa39490bc64f0c2482df650fa9fac9077247e93d66c9c863aaf1fe2c46,0,1,0.5555555555555556,0.1300408056161687,High congestion: candidate congestion 60% exceeds threshold 50%,deepseek-chat,1289.8645420209505,deepseek-v4-flash,346,74,420,1,True
38,6,59,60,0.8275,0.84125,1.987031674251178,0.213875020433657,0.14208739906287327,2.3429940937477083,2.342994093747708,2.3429940937477083,1,9c1aa4430f47176b99f781a854b0359ae7d552a32542cdfb3de8d821b670609f,0,1,0.01694915254237288,0.01661631419939577,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1815.882250026334,deepseek-v4-flash,348,72,420,1,True
39,47,59,60,0.82875,0.8412499999999999,0.6111111111111112,0.213875020433657,0.1300408056161687,0.9550269371609369,0.9550269371609369,0.9550269371609369,1,5cdfe841dae1cd6f169d27221e5eac316ac94285078a783de740dfb2da70a940,0,1,0.6111111111111112,0.1300408056161687,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1357.6912080170587,deepseek-v4-flash,346,73,419,1,True
40,17,60,61,0.8412499999999999,0.8537499999999999,1.8666666666666667,0.2138886576239643,0.14922938316435874,2.22978470745499,2.229784707455,2.22978470745499,1,387930b1c6301c6c0247fd151e0be1186be41c082124e4e2bbc533a2e96470d8,0,1,0.016666666666666666,0.0125,"Prompt length 62 chars, negative prompt 26 chars, steps 30, TXT_2_IMG. Observed exec time 28.0s. Local energy 504000 mJ, TX energy 0.234375 mJ. Consider offloading if latency critical.",deepseek-chat,1755.5648339912295,deepseek-v4-flash,346,112,458,1,True
41,77,60,61,0.8412499999999999,0.8537499999999999,1.0,0.2138886576239643,0.14922938316435874,1.363118040788323,1.363118040788323,1.363118040788323,1,2ca7137edec3ead4c37fa49d2170621656b69ac763e0a56da1eeeb243e8cf8b6,0,1,0.0,0.0,TXT_2_IMG task with 30 steps and 45 chars prompt may cause high latency; consider offloading.,deepseek-chat,1283.1141669885255,deepseek-v4-flash,345,74,419,1,True
42,41,61,62,0.8537499999999999,0.8724999999999999,4.1,0.21390229655346318,0.266129027667666,4.580031324221129,4.580031324221129,4.580031324221129,1,698b3343a7d1f96f5423f95a3402143d5c9a767a73f308482be75ec4f5ac2c4a,0,1,0.01639344262295082,0.02197802197802198,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1347.052542027086,deepseek-v4-flash,341,72,413,1,True
43,7,61,62,0.8537499999999999,0.8662499999999999,1.2222222222222223,0.21390229655346318,0.17124939125143435,1.6073739100271198,1.60737391002712,1.6073739100271198,1,5a47e507466b557d1316fd41653cc2f1701d72b7cf4df2869a7f480e6564ae04,0,1,0.01639344262295082,0.0146484375,High congestion; offloading may increase latency.,deepseek-chat,1516.6890409891494,deepseek-v4-flash,350,66,416,1,True
44,39,62,63,0.86625,0.8787499999999999,1.7222222222222223,0.21391593722248634,0.196518630460915,2.1326567899056235,2.132656789905624,2.1326567899056235,1,8d5e699bc08b6173158b852174e085ff15a6bde45a464530378712400715b4e0,0,1,0.016129032258064516,0.01444043321299639,High congestion; offloading may increase latency.,deepseek-chat,1196.8967080465518,deepseek-v4-flash,346,68,414,1,True
45,80,62,63,0.8662500000000001,0.87875,1.0555555555555556,0.21391593722248634,0.19651863046091544,1.4659901232389574,1.4659901232389576,1.4659901232389574,1,277771e0b59f77845108bf9db90595b2492521e81dcbe6c8f57948ef4d18c754,0,1,0.0,0.0,,deepseek-chat,1053.2205000054091,deepseek-v4-flash,351,50,401,1,True
46,8,63,64,0.87875,0.89125,1.2222222222222223,0.21392957963136666,0.22551655124736225,1.6616683531009513,1.6616683531009513,1.6616683531009513,1,5dffa375e5757bc3a864acbdb4f5da8ffd216bb48b86d13e49f2afe32fe0e7d4,0,1,0.0,0.0,,deepseek-chat,979.6893329476006,deepseek-v4-flash,347,50,397,1,True
47,89,63,64,0.86875,0.89125,2.083333333333333,0.21392957963136666,0.384864988819259,2.682127901783959,2.682127901783959,2.682127901783959,1,dd5d17dc2a1bd4b7e7c1958cf4c7569d474302a81f36ffc77d5bfa05ec608572,0,1,0.0,0.0,High congestion may cause delays,deepseek-chat,1210.7123750029132,deepseek-v4-flash,345,55,400,1,True
48,50,62,63,0.85625,0.8687499999999999,1.2777777777777777,0.21391593722248634,0.17602889990856396,1.667722614908828,1.667722614908828,1.667722614908828,1,193e19552a0e5a4c0aa6192944257d05ec57b0ecd1ac9abc8fdd9480967c1d20,0,1,0.0,0.0,"Prompt length 75 chars, steps 30, TXT_2_IMG may cause high compute load.",deepseek-chat,1315.9059169702232,deepseek-v4-flash,352,71,423,1,True
49,32,63,64,0.86875,0.8875000000000001,3.6,0.21392957963136666,0.313922090815582,4.127851670446949,4.127851670446949,4.127851670446949,1,f9b0a2a2451a40f17de0f122fff161ab12155638931b7ba14a5434b1cba66991,0,1,0.0,0.0,High congestion may cause delays,deepseek-chat,1060.000500001479,deepseek-v4-flash,341,55,396,1,True
50,77,62,63,0.85625,0.8687499999999999,1.0,0.21391593722248634,0.17602889990856396,1.3899448371310503,1.3899448371310503,1.3899448371310503,1,85fd0263974e9a52fc0b3e3d62f48801edc6db562c191959e089e6dfbc0af294,0,1,0.0,0.0,none,deepseek-chat,1514.4438339630142,deepseek-v4-flash,345,52,397,1,True
51,38,63,64,0.86875,0.88125,0.5555555555555556,0.21392957963136666,0.20200339445751325,0.9714885296444356,0.9714885296444356,0.9714885296444356,1,d7b597bbe4df9771085e174c83adbfd42492d63e67cc3c0083acea2078fa4f10,0,1,0.5555555555555556,0.20200339445751325,High congestion: offloading may increase latency.,deepseek-chat,1387.5924999592826,deepseek-v4-flash,350,69,419,1,True
52,14,63,64,0.8687499999999999,0.8812499999999999,0.9444444444444444,0.21392957963136666,0.20200339445751303,1.3603774185333242,1.360377418533324,1.3603774185333242,1,d028f240634bc93090e17e3d78a5922eab182708ff35e86a8ecf0746b97beecc,0,1,0.9444444444444444,0.20200339445751303,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1388.3932079770602,deepseek-v4-flash,347,72,419,1,True
53,26,63,64,0.86625,0.88125,1.5,0.21392957963136666,0.2391735873465335,1.9531031669779002,1.9531031669779,1.9531031669779002,1,12242a50b1a65b38e7a5128795fd6ee0bfcc0f46e55a54b71f64d03cc1b967d6,0,1,0.0,0.0,High congestion; offloading may increase latency.,deepseek-chat,1275.6764170480892,deepseek-v4-flash,342,58,400,1,True
54,77,62,63,0.8537499999999999,0.8662499999999999,1.0,0.21391593722248634,0.17124939125143435,1.3851653284739207,1.3851653284739207,1.3851653284739207,1,ac62183f33731362f29fcd09dfc8157833d2a4a36e9ad7926e3585ecf24d865a,0,1,0.0,0.0,TXT_2_IMG task with 30 steps and 45 chars prompt may cause high latency; consider offloading.,deepseek-chat,1413.6154580046423,deepseek-v4-flash,345,75,420,1,True
55,15,63,64,0.86625,0.8787499999999999,1.1111111111111112,0.21392957963136666,0.196518630460915,1.5215593212033929,1.521559321203393,1.5215593212033929,1,dc0859eb4a42f6cacdaf13990c405af6c50b09415c34c179aaee3a05b7484c2e,0,1,0.015873015873015872,0.01443452380952381,High congestion; offloading may increase latency.,deepseek-chat,1487.1680000214837,deepseek-v4-flash,346,68,414,1,True
56,53,64,65,0.87875,0.89125,0.8888888888888888,0.21394322378043698,0.22551655124736225,1.3283486639166882,1.328348663916688,1.3283486639166882,1,4afe4dd122945f76ca488161868d2d915a0081261a02686d66f402aa86c133ee,0,1,0.8888888888888888,0.22551655124736225,High congestion increase from 64 to 65; VRAM load approaching 90% threshold.,deepseek-chat,1269.3385000457056,deepseek-v4-flash,347,78,425,1,True
57,40,64,65,0.8724999999999999,0.89125,2.7,0.21394322378043698,0.3271555452920494,3.2410987690724866,3.241098769072486,3.2410987690724866,1,88bfc600f9ef48fbb6c8a2d40da4544ad7b917b032ef9d2dd96de1a20afa0dfc,0,1,0.0,0.0,TXT_2_IMG with 8 images and 30 steps may cause high latency; consider reducing steps or images.,deepseek-chat,1299.8428749851882,deepseek-v4-flash,341,74,415,1,True
58,78,63,64,0.86,0.8724999999999999,0.7999999999999999,0.21392957963136666,0.18344943672848202,1.1973790163598486,1.1973790163598486,1.1973790163598486,1,601aa8d22bcd0d89995af3cb80795a2382b5106907b0ce7a3c9cc4960379377a,0,1,0.8,0.18344943672848202,High congestion and VRAM load; consider offloading to reduce risk.,deepseek-chat,1398.8414999912493,deepseek-v4-flash,345,69,414,1,True
59,62,63,64,0.86,0.8724999999999999,1.7777777777777777,0.21392957963136666,0.18344943672848202,2.175156794137626,2.175156794137626,2.175156794137626,1,181777d8a7b386442d12bd3be92f3a3ac86962fd5581c16b4dbfa1280c6dae5c,0,1,0.015873015873015872,0.014534883720930232,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1636.3958749570884,deepseek-v4-flash,354,72,426,1,True
60,57,63,64,0.86,0.8724999999999999,1.0555555555555556,0.21392957963136666,0.18344943672848202,1.4529345719154043,1.4529345719154043,1.4529345719154043,1,ac45e9f410dc295c9954075b1439fc45291dd68ece09fe75f2594dc735ffb1fc,0,1,0.015873015873015872,0.014534883720930232,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1244.4578749709763,deepseek-v4-flash,351,73,424,1,True
61,52,64,65,0.8724999999999999,0.8875,2.416666666666667,0.21394322378043698,0.2562126472883701,2.886822537735474,2.886822537735474,2.886822537735474,1,19a43f642ce60654e77d9b4131ff3216827a44f18f7391a935abe16e6faf21c6,0,1,0.05,0.015,High VRAM load may cause OOM; consider reducing batch size or steps.,deepseek-chat,1235.1758339791559,deepseek-v4-flash,351,65,416,1,True
62,66,64,65,0.875,0.8875,0.7222222222222222,0.21394322378043698,0.21639439801606697,1.1525598440187261,1.1525598440187261,1.1525598440187261,1,5d051f1cf85d38c54c53e15fe545cc13b71dd787aa7b556213e2710edac49742,0,1,0.7222222222222222,0.21639439801606697,High VRAM load may cause OOM; consider reducing batch size or resolution.,deepseek-chat,1216.649290989153,deepseek-v4-flash,354,76,430,1,True
63,46,64,65,0.875,0.8875,1.0555555555555556,0.21394322378043698,0.21639439801606697,1.4858931773520596,1.4858931773520594,1.4858931773520596,1,b43d4a525c2f7fd68ebb7f4ad3ac36a7fe4a156a03c4eeb255561b6642e9f9f8,0,1,0.015625,0.014285714285714285,High VRAM load may cause OOM; consider reducing batch size or resolution.,deepseek-chat,1391.5736659546383,deepseek-v4-flash,354,72,426,1,True
64,67,65,66,0.8875000000000001,0.9012500000000001,1.2536983409178448,0.21395686967003036,0.2750895472557966,1.7427447578436719,1.7427447578436719,1.7427447578436719,1,d72593ce9a988b060bd09a66b070e4f9c1bfef909e258783e8ee9177c1d3d54b,0,1,0.015384615384615385,0.0155,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1233.3910829620436,deepseek-v4-flash,346,69,415,1,True
65,28,65,66,0.8875000000000001,0.9,1.3888888888888888,0.21395686967003036,0.24832514981086384,1.851170908369783,1.851170908369783,1.851170908369783,1,ae47f4d64a9ce16b39410d661cfa3e859ce650afce9b6063e8fb360354fc1d8f,0,1,0.015384615384615385,0.014084507042253521,High congestion and VRAM load; offloading may increase latency.,deepseek-chat,1739.4267920171842,deepseek-v4-flash,349,72,421,1,True
66,30,65,66,0.88125,0.9,2.5536983409178444,0.21395686967003036,0.36024384616893257,3.1278990567568075,3.1278990567568075,3.1278990567568075,1,077388580676bcb648e0ded88569182837a6393c7f117a35d93faf02074cd62c,0,1,0.02,0.02127659574468085,High congestion and VRAM load; consider offloading.,deepseek-chat,1287.2566670412198,deepseek-v4-flash,353,66,419,1,True
67,62,64,65,0.86875,0.88125,1.7777777777777777,0.21394322378043698,0.20200339445751325,2.193724396015728,2.193724396015728,2.193724396015728,1,cc51c30ca7dd462be4702d657ff721c2704aa34970817d074ba9dfcced4eae59,0,1,0.015625,0.0125,"Prompt length 71 chars, steps 30, TXT_2_IMG may cause high compute load.",deepseek-chat,1406.8027500179596,deepseek-v4-flash,355,73,428,1,True
68,49,64,65,0.86875,0.88125,1.8888888888888888,0.21394322378043698,0.20200339445751325,2.304835507126839,2.304835507126839,2.304835507126839,1,c9f2b3da495506888964f94c19c71b98f963b9b35073538de633c627306f4de8,0,1,0.015625,0.0125,"Prompt length 45 chars, negative prompt 26 chars, steps 30, num_images 1, no LoRA. Observed exec time 34.0s. Local energy cost 3.8, TX energy cost 0.2412. Local energy 612000 mJ, TX energy 0.2277 mJ. Offloading may increase center cost.",deepseek-chat,1616.9316250015981,deepseek-v4-flash,350,128,478,1,True
